sex,rep,line,f1,f2,f3,f4,f5
2,3,165,48,24,39,26,28
2,3,166,26,19,18,21,20
2,3,167,51,73,47,53,66
2,3,168,23,42,33,15,26
2,3,169,50,42,39,40,47
2,3,170,72,41,64,50,48
2,3,171,42,62,47,45,48
2,3,172,49,51,43,27,51
2,3,173,56,30,19,35,35
2,3,174,37,20,19,42,29
2,3,175,33,25,31,42,41
2,3,176,31,24,31,24,18
2,3,177,19,33,15,48,23
2,3,178,27,11,27,32,25
2,3,179,32,26,22,34,18
2,3,180,18,11,21,19,16
2,3,181,36,55,48,43,45
2,3,182,16,28,34,25,19
2,3,183,19,40,38,41,11
2,3,184,55,43,42,24,44
2,3,185,23,28,17,23,25
2,3,186,40,23,36,35,26
2,3,187,33,17,27,26,39
2,3,188,58,24,43,26,40
2,3,189,44,34,45,43,42
2,3,190,19,31,32,40,NA
2,3,191,23,6,54,58,26
2,3,192,24,15,36,15,28
2,3,193,14,35,29,23,39
2,3,194,35,31,30,30,29
2,3,195,26,29,31,31,14
2,3,196,38,33,40,23,31
2,3,197,32,43,25,20,36
2,3,198,0,28,22,23,49
2,3,199,47,39,46,31,20
2,3,200,57,23,56,45,57
2,3,201,64,54,29,37,38
2,3,202,22,48,46,40,34
2,3,203,18,14,31,26,24
2,3,204,43,44,51,33,56
2,3,205,43,44,51,33,56
2,3,206,40,29,32,NA,NA
2,3,207,38,27,40,35,50
2,3,208,51,45,34,33,0
2,3,209,39,29,35,38,40
2,3,210,19,15,24,26,14
2,3,211,64,34,37,66,43
2,3,212,39,48,38,24,45
2,3,213,17,31,16,54,51
2,3,214,28,26,9,55,42
2,3,215,25,30,37,33,45
2,3,216,17,28,22,62,29
2,3,217,28,22,55,43,58
2,3,218,30,24,31,7,32
2,3,219,28,24,29,26,36
2,3,220,18,15,1,21,20
2,3,221,16,41,39,42,36
2,3,222,20,44,54,30,30
2,3,223,55,54,25,25,NA
2,3,224,23,32,45,21,30
2,3,225,27,22,45,28,36
2,3,226,36,28,20,45,36
2,3,227,32,33,26,39,36
2,3,228,26,14,24,46,26
2,3,229,44,59,22,50,26
2,3,230,27,34,15,44,43
2,4,1,10,28,30,21,25
2,4,2,21,29,42,48,NA
2,4,3,22,16,36,18,NA
2,4,4,55,40,20,18,41
2,4,5,23,20,29,24,17
2,4,6,18,12,0,21,14
2,4,7,51,42,37,47,42
2,4,8,17,35,46,47,36
2,4,9,26,14,19,23,29
2,4,10,26,38,39,37,29
2,4,11,13,37,7,30,11
2,4,13,12,61,39,23,23
2,4,14,29,18,38,25,27
2,4,15,15,14,17,15,17
2,4,16,16,15,16,32,13
2,4,17,18,13,6,52,NA
2,4,18,13,21,16,16,25
2,4,19,15,19,16,21,15
2,4,20,14,29,17,0,15
2,4,21,20,49,33,41,27
2,4,22,19,22,18,20,21
2,4,23,19,22,25,17,19
2,4,24,21,34,25,15,23
2,4,25,30,34,44,19,23
2,4,26,26,36,39,43,32
2,4,27,42,13,12,42,0
2,4,28,38,35,39,44,NA
2,4,29,51,57,49,48,54
2,4,30,18,43,37,40,44
2,4,31,27,32,46,34,28
2,4,32,24,16,23,34,50
2,4,33,44,40,45,23,NA
2,4,34,0,57,29,27,30
2,4,35,30,34,18,27,20
2,4,36,26,37,29,28,24
2,4,37,24,33,27,30,39
2,4,38,18,21,16,24,NA
2,4,39,35,49,26,38,32
2,4,40,18,21,40,32,19
2,4,41,21,27,21,19,27
2,4,43,21,39,23,42,24
2,4,44,34,30,40,0,30
2,4,45,36,25,10,8,17
2,4,46,22,62,0,61,0
2,4,47,39,45,22,23,19
2,4,48,51,53,46,56,36
2,4,49,32,13,27,22,21
2,4,50,46,72,18,45,65
2,4,51,40,44,21,22,42
2,4,52,28,37,26,22,21
2,4,53,22,35,16,36,22
2,4,54,37,24,38,39,46
2,4,55,40,50,18,49,40
2,4,56,42,37,36,43,NA
2,4,57,35,30,43,37,37
2,4,58,39,34,36,44,29
