MAF	Abs_Effect	Pop	Abs_Effect_quantile
0.1763754	0.12145835	SA	61
0.183689185	0.1234321	SA	62
0.12399774	0.12543115	SA	63
0.189762845	0.12734975	SA	64
0.156077095	0.12960055	SA	65
0.207168565	0.1315722	SA	66
0.18243138	0.1334696	SA	67
0.15427295	0.1354788	SA	68
0.20215128	0.13808355	SA	69
0.19762065	0.1401816	SA	70
0.20768932	0.1424584	SA	71
0.12346007	0.1449572	SA	72
0.14408899	0.14747975	SA	73
0.134026855	0.149678	SA	74
0.14004011	0.1522737	SA	75
0.107030515	0.15490515	SA	76
0.175287935	0.15757855	SA	77
0.161876145	0.1605516	SA	78
0.14125827	0.1634079	SA	79
0.23178526	0.16623965	SA	80
0.160020165	0.16922365	SA	81
0.17382185	0.17268315	SA	82
0.090458395	0.17582175	SA	83
0.119012485	0.17989175	SA	84
0.2145812	0.18328205	SA	85
0.156316495	0.18750505	SA	86
0.11701847	0.1928761	SA	87
0.167827105	0.19752285	SA	88
0.0672695	0.2038638	SA	89
0.113954005	0.20843145	SA	90
0.182820945	0.21531415	SA	91
0.198284665	0.2218919	SA	92
0.119613295	0.22970045	SA	93
0.19080435	0.23818585	SA	94
0.178967265	0.24709065	SA	95
0.153050736842105	0.258375157894737	SA	96
0.207345821052632	0.274988421052632	SA	97
0.175362494736842	0.289505368421053	SA	98
0.1181088125	0.3150181875	SA	99
0.159386988235294	0.353435235294118	SA	100
